amount,club,rnd,state
127373,Yankalilla Bowling Club Inc.,2,SA
499199,Adelaide Hills Council,3,SA
372537,Bellevue Heights Tennis Club Incorporated,3,SA
200000,Blackfriars Old Scholars Football Club,3,SA
480000,Eudunda Sporting Club Inc.,3,SA
84000,Football Federation Sa Inc,3,SA
382200,Henley Football Club Incoorporated,3,SA
266000,Kalangadoo War Memorial Park And Community Sports Club Inc,3,SA
40550,North Eastern Sports Shooting Club Inc.,3,SA
213387,North Mount Gambier Football Club Inc,3,SA
500000,Old Collegians Rugby Union Football Club Inc.,3,SA
62263,Port District Football Club,3,SA
18000,Port Lincoln Tennis Association,3,SA
44310,Port Pirie Basketball Association,3,SA
9812,Price Tennis Club,3,SA
173788,St Marys Park Sports Association Incorporated,3,SA
162890,The Adelaide Juventus Sports And Social Club,3,SA
40000,The All Boys All Girls Club Inc Trading As Queenstown Gymnastics,3,SA
190000,The Tea Tree Gully Golf Club Incorporated,3,SA
14120,Toorak Burnside Bowling Club,3,SA
409445,Town Of Gawler,3,SA
54750,West Gambier Football Club Incorporated,3,SA
192000,Brighton Council,1,TAS
385000,Devonport City Soccer Club (Dcsc),1,TAS
65238,Huon Valley Police And Community Youth Club Inc,1,TAS
112952,Kingborough Council,1,TAS
11680,Leven Yacht Club Inc.,1,TAS
50000,Meander Valley Council,1,TAS
54135,Oatlands Golf Club,1,TAS
500000,Tennis Tasmania,1,TAS
200000,Clarence City Council,2,TAS
100000,Latrobe Council,2,TAS
15500,Ouse Country Club,2,TAS
58810,Riding For The Disabled Association Kalang Inc,2,TAS
98500,Scottsdale Football Club Inc,2,TAS
32917,St Anne'S Cricket Club Inc,2,TAS
50000,Tasmanian Rugby Union,2,TAS
200000,Dover Rsl Bowls Club Inc,3,TAS
57500,Glenorchy Rodman Bowls & Community Club Inc,3,TAS
41755,Hockey Tasmania,3,TAS
11000,Newstead Tennis & Squash Centre Inc,3,TAS
337500,Tasman Council,3,TAS
101400,Trevallyn Cricket Club Inc,3,TAS
210000,Ulverstone Soccer Club,3,TAS
235000,Westbury Bowling Club,3,TAS
16000,Wynyard Golf Club,3,TAS
90000,Aspendale Tennis Club Inc,1,VIC
45000,Axedale Golf Club Inc,1,VIC
1850,Ballarat South Senior Citizens Centre Inc.,1,VIC
50000,Banyule City Council,1,VIC
370000,Barwon Heads Football And Netball Club,1,VIC
45000,Baw Baw Shire Council,1,VIC
190000,Boronia Hawks Football Netball Club Inc,1,VIC
344826,Brimbank City Council,1,VIC
170149,Cairnlea Fc Sports Club Inc.,1,VIC
10520,Camberwell Junior Football Club,1,VIC
113010,Cardinia Shire Council,1,VIC
200000,City Of Casey,1,VIC
150000,City Of Greater Bendigo,1,VIC
20000,City Of Greater Dandenong,1,VIC
20000,City Of Greater Dandenong,1,VIC
200000,Darebin City Council,1,VIC
150000,Darley Football Netball Club,1,VIC
45000,Doutta Galla Tennis Club,1,VIC
9086,East Coburg Tennis Club,1,VIC
44886,Edenhope Golf Club,1,VIC
45000,Eildon Golf Club,1,VIC
4291,Eureka Orienteers Inc,1,VIC
66000,Euroa Golf Club Inc.,1,VIC
55000,Friends Of Elcho Park Equestrian Centre,1,VIC
14000,Geelong Cement Bowls Club,1,VIC
29800,Gisborne Soccer Club,1,VIC
106000,Glen Eira,1,VIC
213675,Glen Eira,1,VIC
38500,Goulburn Valley Hockey Association,1,VIC
24182,Greensborough Tennis Club,1,VIC
5960,Hallam Tennis Club Inc,1,VIC
39000,Healesville Tennis Club Inc,1,VIC
170000,Hobsons Bay City Council,1,VIC
358590,Lakes Entrance Football Netball Club,1,VIC
163491,Langwarrin Tennis Club,1,VIC
44760,Maidstone Tennis Club,1,VIC
500000,Maroondah City Council,1,VIC
47560,Mentone Pony Club,1,VIC
50000,Montrose Tennis Club Inc,1,VIC
15260,Mordialloc Sailing Club Inc.,1,VIC
170000,Nillumbik Shire Council,1,VIC
59437,Noble Park Bowls Club,1,VIC
20000,Old Mentonians Hockey Club Inc. Trading As Mentone Hockey Club,1,VIC
500000,Pakenham Football Club,1,VIC
102572,Phillip Island District Cricket Club,1,VIC
15440,Phillip Island Tennis Club Inc,1,VIC
50000,Port Fairy Surf Life Saving Club,1,VIC
38061,Pyrenees Shire Council,1,VIC
246500,Raise The Roof Benalla Inc.,1,VIC
15726,Riddells Creek Tennis Club Incorporated,1,VIC
11900,Riding For The Disabled Viewbank,1,VIC
49274,Sanctuary Lakes Club,1,VIC
100000,Schramms Sports Club Inc,1,VIC
15000,South Camberwell Tennis Club Inc,1,VIC
31500,South Hawthorn Tennis Club,1,VIC
115000,Strathmore Sports Club,1,VIC
23000,Talbot Football Netball Club Inc.,1,VIC
50000,Yarra Ranges Shire Council,1,VIC
77241,Yarrawonga Lawn Tennis Club Incorporated,1,VIC
125000,Ballarat Golf Club,2,VIC
23076,Ballarat Lawn Tennis Club,2,VIC
179000,Berwick Bowling Club,2,VIC
50000,Bittern Tennis Club,2,VIC
38877,Blackburn Calisthenics Inc,2,VIC
42468,Boneo Tennis Club Incorporated,2,VIC
50000,Bundoora Tennis Club Inc.,2,VIC
59600,Buninyong Community Tennis Club,2,VIC
8000,Bunyip Tennis Club Inc,2,VIC
112300,Castlemaine Lawn Tennis Club,2,VIC
113556,Central Goldfields Shire Council,2,VIC
11610,Charlton Cricket Club Incorporated,2,VIC
219300,Eaglehawk Soccer Club,2,VIC
38750,East Doncaster Cricket Club,2,VIC
500000,East Shepparton Bowls Club,2,VIC
157245,Fitzroy Football Club (Incorporating The Fitzroy Reds),2,VIC
96850,Footscray Park Bowling Club,2,VIC
499000,Frankston City Council,2,VIC
19711,Frankston Dolphins Junior Football Club,2,VIC
396850,Glen Eira Amateur Football Club,2,VIC
500000,Golden Plains Shire Council,2,VIC
22000,Horsham Little Athletics Centre,2,VIC
92450,Kew Little Athletics,2,VIC
15075,Lakeside Sailing Club Pakenham,2,VIC
19907,Leitchville Bowls Club,2,VIC
50000,Leongatha And District Netball Association,2,VIC
3995,Longwarry Cricket Club,2,VIC
105000,Maroondah City Council,2,VIC
147000,Mccrae Yacht Club,2,VIC
29800,Mentone Pony Club,2,VIC
8700,Mildura West Cricket Club,2,VIC
200000,Mitchell Shire Council,2,VIC
50000,Moe Bowling Club,2,VIC
200000,Monash City Council,2,VIC
200000,Montrose Cricket Club,2,VIC
50000,Moonee Ponds Bowling Club,2,VIC
48000,Moreland City Council,2,VIC
38000,Moreland City Council,2,VIC
43231,Murrumbeena Tennis Club,2,VIC
5500,Napoleons Sebastopol Cricket Club,2,VIC
390000,Narre Warren Bowls Club Inc,2,VIC
170000,Nillumbik Shire Council,2,VIC
39085,Officer Tennis Club,2,VIC
25000,Outtrim Moyarra Kongwak Cricket Club,2,VIC
50000,Pakenham & District Golf Club,2,VIC
74755,Pakenham Upper Tennis Club,2,VIC
90000,Portarlington Golf Club,2,VIC
50000,Red Cliffs Golf Club,2,VIC
9000,Richmond Union Cricket Club,2,VIC
450000,Rowville Knights Community Football Club,2,VIC
499994,Southern Grampians Shire Council,2,VIC
53800,Southern Malle Giants Football Netball Club,2,VIC
110000,Templestowe Sporting Club,2,VIC
50000,Tennis Australia,2,VIC
200000,Towong Shire Council,2,VIC
35980,Wangaratta Clay Target Club Inc,2,VIC
50000,Warnambool Field And Game Inc,2,VIC
106800,Webbcona Bowls Club,2,VIC
250000,Wellington Shire Council,2,VIC
205360,Wodonga Football And Sports Club Inc,2,VIC
249290,Yarriambiack Shire Council,2,VIC
123648,Ashwood Sports Club,3,VIC
90940,Australian Pitch And Putt Association For Golphrobics (Waverley Pitch And Putt),3,VIC
160000,Baw Baw Shire Council,3,VIC
20000,Beaufort And District Adult Riding Club,3,VIC
49850,Burwood District Bowls Club,3,VIC
38000,Camberwell Hockey Club Inc,3,VIC
500000,Cardinia Shire Council,3,VIC
189265,Cheltenham Football Club,3,VIC
500000,City Of Ballarat,3,VIC
120775,City Of Echuca Bowls Club Inc,3,VIC
20000,City Of Greater Dandenong,3,VIC
20000,City Of Greater Dandenong,3,VIC
90000,East Camberwell Tennis Club Inc,3,VIC
500000,East Gippsland Shire Council,3,VIC
42000,Ellinbank Badminton Club Inc,3,VIC
3000,Endeavour Sporting (Soccer) Club,3,VIC
500000,Equestrian Victoria,3,VIC
34965,Footscray Park Bowling Club (Inc),3,VIC
180131,Frankston Baseball Club,3,VIC
25000,Frankston City Council,3,VIC
500000,Geelong Soccer & Sports Club,3,VIC
476558,Glen Eira City Council,3,VIC
25000,Grace Park Hawthorn Club,3,VIC
256000,Grovedale Tigers Football Netball Club,3,VIC
500000,Hawthorn Malvern Hockey Centre Pty Ltd,3,VIC
200000,Hobsons Bay City Council,3,VIC
42000,Irrewarra Cricket Club Inc,3,VIC
50000,Kawarren Recreation Reserve,3,VIC
33781,Kiewa Sandy Creek Netball Club,3,VIC
500000,Kingston City Council,3,VIC
300000,Knox City Council,3,VIC
10483,Lancefield Tennis Club,3,VIC
30000,Main Ridge Pony Club Inc,3,VIC
25000,Manningham Cobras Football Club,3,VIC
500000,Maroondah City Council,3,VIC
42140,Montmorency Junior Football Club,3,VIC
350000,Moonee Valley City Council,3,VIC
339380,Moreland City Football Club,3,VIC
245972,Mornington Peninsula Shire,3,VIC
250000,Neangar Park Golf Club Incorporated,3,VIC
200000,North Box Hill Tennis Club Inc,3,VIC
50000,North Ringwood Tennis Club,3,VIC
500000,Northern Grampians Shire Council,3,VIC
500000,Northern Grampians Shire Council,3,VIC
48400,Parkside Junior Football Club,3,VIC
50000,Preston Bullants Amateur Football Club,3,VIC
45000,Research Tennis Club,3,VIC
350000,Shire Of Strathbogie,3,VIC
172606,Somers Yacht Club Inc,3,VIC
340500,St Kilda City Junior Football Club,3,VIC
50000,St Mary'S Salesian Amateur Football Club,3,VIC
500000,Wangaratta Rural City Council,3,VIC
50000,Warranor Junior Football Club,3,VIC
127000,Winchelsea Cricket Club Inc.,3,VIC
189287,Wonthaggi Power Football Netball Club,3,VIC
500000,Yarra Ranges Shire Council,3,VIC
12350,Blue Gum Park Tennis Club,1,WA
25000,Bolgart Sports Club (Inc),1,WA
180000,Bunbury Tennis Club (Inc),1,WA
500000,City Of Armadale,1,WA
200000,City Of Canning,1,WA
90000,City Of Cockburn,1,WA
42000,City Of Joondalup,1,WA
200000,City Of Joondalup,1,WA
500000,City Of Stirling,1,WA
49986,City Of Vincent,1,WA
50000,Comet Bay Bowling Club Inc,1,WA
32647,Cranbrook Districts Motorcycle Club,1,WA
12975,Denison Bowlong And Recreation Club,1,WA
19469,Dongara Golf Club Inc.,1,WA
28200,Glen Forrest Sports Club Inc,1,WA
24195,Guildford And Kalamunda Districts Swimming Club,1,WA
44000,Manning Tennis Club,1,WA
