,amount,club,rnd,state,address,lat,lng,name,types,electorate
86,47339,Oberon Golf Club,2,NSW,"107 Ross St, Oberon NSW 2787, Australia",-33.712035,149.856308,Oberon Golf Club,"point_of_interest,establishment",Calare
87,25000,Parkes Tennis Club,2,NSW,"Victoria St, Parkes NSW 2870, Australia",-33.132309,148.1680012,Parkes Tennis Club,"point_of_interest,establishment",Riverina
88,100000,Parramatta City Tennis Orporated,2,NSW,"Barton St, North Parramatta NSW 2151, Australia",-33.803328,151.022864,Parramatta City Tennis (ParraTennis),"school,health,point_of_interest,store,establishment",Parramatta
89,500000,Penrith City Council,2,NSW,"Penrith, NSW, Australia",-33.80484879999999,150.7214362,Penrith,"administrative_area_level_2,political",Lindsay
90,200000,Pitt Town And District Sports Soccer Club And Pitt Town Bowls Club,2,NSW,"139 Old Pitt Town Rd, Pitt Town NSW 2756, Australia",-33.5938172,150.8769611,The Pitt Town & District Sports Club,"bar,point_of_interest,establishment",Macquarie
91,48070,Police Citizens Youth Clubs Nsw Ltd (Albury),2,NSW,"Keene St &, Andrews St, Albury NSW 2640, Australia",-36.0712245,146.9382445,PCYC Albury,"gym,health,point_of_interest,establishment",Farrer
92,146899,Rawsonville Pony Club,2,NSW,"7/25 Victoria St, Wollongong NSW 2500, Australia",-34.422424,150.890854,"Pony Club Association of NSW Inc,","point_of_interest,establishment",Cunningham
93,9405,Rich River Golf Club,2,NSW,"Twenty Four Ln, Moama NSW 2731, Australia",-36.0734424,144.7326256,Rich River Golf Club,"cafe,lodging,restaurant,food,point_of_interest,establishment",Farrer
94,62467,Shoalhaven City Council,2,NSW,"Shoalhaven, NSW, Australia",-35.0810677,150.4892292,Shoalhaven,"administrative_area_level_2,political",Gilmore
95,196300,Singleton Council,2,NSW,"Singleton, NSW, Australia",-32.6135516,151.0471355,Singleton,"administrative_area_level_2,political",Hunter
96,20000,Southern Cross Gliding Club,2,NSW,"Aerodrome Rd, Cobbitty NSW 2570, Australia",-34.042081,150.6911423,Southern Cross Gliding Club,"university,point_of_interest,establishment",Hume
97,200000,Southern Cross Gliding Club,2,NSW,"Aerodrome Rd, Cobbitty NSW 2570, Australia",-34.042081,150.6911423,Southern Cross Gliding Club,"university,point_of_interest,establishment",Hume
98,188500,St Anthony And St Pauls,2,NSW,"29 Bolton St, Guildford NSW 2161, Australia",-33.856876,150.987074,St Anthony's and St Paul's Coptic Orthodox Church,"place_of_worship,point_of_interest,establishment",McMahon
99,17000,Temora Rugby Union Club,2,NSW,"130 Baker St, Temora NSW 2666, Australia",-34.44693000000001,147.5318733,Temora Ex-Services Club,"restaurant,food,point_of_interest,establishment",Riverina
100,78000,Temora Town Netball Association,2,NSW,"130 Baker St, Temora NSW 2666, Australia",-34.44693000000001,147.5318733,Temora Ex-Services Club,"restaurant,food,point_of_interest,establishment",Riverina
101,45000,Tenterfield Bowls Club,2,NSW,"77 Molesworth St, Tenterfield NSW 2372, Australia",-29.051566,152.015977,Tenterfield Bowling Club Motor Inn,"lodging,point_of_interest,establishment",New England
102,53000,Wakehurst Rugby League Club Ltd,2,NSW,"Forest Way, Belrose NSW 2085, Australia",-33.715152,151.216028,Wakehurst Rugby club,"point_of_interest,establishment",Mackellar
103,31500,Wellington Bowling Club,2,NSW,"38 Clive St, Wellington NSW 2820, Australia",-32.5579091,148.9554467,Wellington Bowling Club,"point_of_interest,establishment",Calare
104,10655,West Wyalong Amateur Swimming Club,2,NSW,"35 Kurrajong St, West Wyalong NSW 2671, Australia",-33.920231,147.2069103,Holland Park Swim Centre,"point_of_interest,establishment",Riverina
105,47280,Adelong Service Citizens And Bowling Club,3,NSW,"54 Tumut St, Adelong NSW 2729, Australia",-35.3084145,148.0658222,Adelong Services & Citizens Club Ltd,"point_of_interest,establishment",Eden-Monaro
106,250000,Albury City Council,3,NSW,"City of Albury, NSW, Australia",-36.031106,146.9886432,City of Albury,"administrative_area_level_2,political",Farrer
107,190000,Armidale Regional Council,3,NSW,"135 Rusden St, Armidale NSW 2350, Australia",-30.51445,151.66559,Armidale Regional Council,"local_government_office,point_of_interest,establishment",New England
108,200000,Bathurst Regional Council,3,NSW,"Bathurst NSW 2795, Australia",-33.4192822,149.5775008,Bathurst,"colloquial_area,locality,political",Calare
109,140372,Bayview Golf Club,3,NSW,"1825 Pittwater Rd, Mona Vale NSW 2103, Australia",-33.6702016,151.3014905,Bayview Golf Club,"point_of_interest,establishment",Mackellar
110,174970,Broken Hill Basketball Association,3,NSW,"174 South St, Broken Hill NSW 2880, Australia",-31.98089,141.465786,Broken Hill Basketball Association,"gym,health,point_of_interest,establishment",Parkes
111,50000,Burrumbuttock Tennis Club,3,NSW,"37 Foley St, Gwynneville NSW 2500, Australia",-34.4184582,150.8863282,Wollongong Tennis Club,"bar,restaurant,food,school,health,point_of_interest,establishment",Cunningham
112,230000,Byron Bay Cycle Club (Bbcc),3,NSW,"Byron Bay NSW 2481, Australia",-28.6441616,153.6123788,Byron Bay Cycle Club,"point_of_interest,establishment",Richmond
113,360000,Canterbury Bankstown Tennis Association,3,NSW,"28 Childs St, Panania NSW 2213, Australia",-33.9540874,150.9879649,Canterbury Bankstown Tennis Association Inc.,"point_of_interest,establishment",Banks
114,350000,Canterbury-Bankstown Council,3,NSW,"Civic Tower, 66/72 Rickard Rd, Bankstown NSW 2200, Australia",-33.9150678,151.0362874,City of Canterbury Bankstown,"local_government_office,point_of_interest,establishment",Blaxland
115,150000,Central Coast Council,3,NSW,"Central Coast Council, NSW, Australia",-33.3208415,151.2335592,Central Coast Council,"administrative_area_level_2,political",Robertson
116,42000,Coolamatong Snowy Mountains Country Club Limited,3,NSW,"3 Jindabyne Rd, Berridale NSW 2628, Australia",-36.3658892,148.8258452,Coolamatong Country Club,"point_of_interest,establishment",Eden-Monaro
117,20000,Cumberland Council,3,NSW,"Cumberland Council, NSW, Australia",-33.83720870000001,150.9656452,Cumberland Council,"administrative_area_level_2,political",McMahon
118,32220,Dunoon United Football Club,3,NSW,"15 Cowley Rd, Dunoon NSW 2480, Australia",-28.6830691,153.3206233,Dunoon and District Sports and Recreation Club,"point_of_interest,establishment",Page
119,35000,Eastern Suburbs Leagues Club Pty Ltd - Kingswood Sports Club,3,NSW,"2 Santley Cres, Kingswood NSW 2747, Australia",-33.7611318,150.7235905,Kingswood Sports Club,"point_of_interest,establishment",Lindsay
120,475000,Eurobodalla Shire Council,3,NSW,"Eurobodalla, NSW, Australia",-35.8894726,149.9334764,Eurobodalla,"administrative_area_level_2,political",Gilmore
121,169098,Fairfield City Council,3,NSW,"Fairfield, NSW, Australia",-33.8673343,150.8841983,Fairfield,"administrative_area_level_2,political",Fowler
122,371000,Football Nsw,3,NSW,"235-257 Meurants Ln, Glenwood NSW 2768, Australia",-33.7398555,150.9452177,Football NSW,"point_of_interest,establishment",Greenway
123,23350,Goulburn Rodeo Club,3,NSW,"Goulburn NSW 2580, Australia",-34.7707809,149.71472,Goulburn Rodeo Club,"point_of_interest,establishment",Hume
124,15000,Guyra Gun Club,3,NSW,"3670 New England Hwy, Guyra NSW 2365, Australia",-30.26430379999999,151.680975,Guyra Gun Club,"point_of_interest,establishment",New England
125,195800,Gwydir Shire Council,3,NSW,"Gwydir, NSW, Australia",-29.6316325,150.4892292,Gwydir,"administrative_area_level_2,political",Parkes
126,200000,Hawkesbury District Agricultural Association,3,NSW,"Hawkesbury Showground, Racecourse Rd, Clarendon NSW 2756, Australia",-33.6093269,150.7804319,Hawkesbury District Agricultural Association,"point_of_interest,establishment",Macquarie
127,500000,Hunters Hill Rugby Union Football Club,3,NSW,"Taplin Park, Drummoyne NSW 2047, Australia",-33.8503728,151.1484889,Drummoyne Districts Junior Rugby Union Club,"point_of_interest,establishment",Reid
128,42000,Jamberoo Rugby League Football Club,3,NSW,"21 Allowrie St, Jamberoo NSW 2533, Australia",-34.6483276,150.7774012,Jamberoo Golf Club,"tourist_attraction,point_of_interest,establishment",Gilmore
129,142000,Kingscliff Tennis Club,3,NSW,"LOT 84 Viking St, Kingscliff NSW 2487, Australia",-28.2605371,153.5767876,Kingscliff Tennis Club,"point_of_interest,establishment",Richmond
130,110265,Kooloora Community Centre,3,NSW,"167 Bilga Cres, Malabar NSW 2036, Australia",-33.9742547,151.2474544,Kooloora Community Centre,"point_of_interest,establishment",Kingsford Smith
131,16500,Kurri Kurri Tennis Club Orporated,3,NSW,"Kurri Kurri NSW 2327, Australia",-32.8243878,151.4815189,Kurri Kurri Tennis Club,"point_of_interest,establishment",Paterson
132,24720,Kyogle Golf Club Ltd,3,NSW,"102 Summerland Way, New Park NSW 2474, Australia",-28.609785,152.996221,Kyogle Golf Club,"point_of_interest,establishment",Page
